   0   0   0      1      1     12.31362176334997      0.00000000000000
   0   0   0      1      2      0.00000000000000     -0.00000000000000
   0   0   0      1      3     -0.00000000000000      0.00000000000000
   0   0   0      1      4     -0.00000000000000     -0.00000000000000
   0   0   0      1      5      0.00000000000000     -0.00000000000000
   0   0   0      1      6     -0.00000000000000      0.00000000000000
   0   0   0      1      7     -0.00000000000000      0.00000000000000
   0   0   0      1      8      0.00000000000000      0.00000000000000
   0   0   0      1      9      0.00000000000000      0.00000000000000
   0   0   0      1     19      0.00000000000000      0.00000000000000
   0   0   0      1     20      0.00000000000000      0.00000000000000
   0   0   0      1     21      0.00000000000000      0.00000000000000
   0   0   0      1     22      0.00000000000000      0.00000000000000
   0   0   0      1     23      0.00000000000000      0.00000000000000
   0   0   0      1     24      0.00000000000000      0.00000000000000
   0   0   0      1     25      0.00000000000000      0.00000000000000
   0   0   0      1     26      0.00000000000000      0.00000000000000
   0   0   0      1     27      0.00000000000000      0.00000000000000
   0   0   0      2      1      0.00000000000000      0.00000000000000
   0   0   0      2      2     13.75733247817557      0.00000000000000
   0   0   0      2      3      0.00000000000000      0.00000000000000
   0   0   0      2      4     -0.00000000000001     -0.00000000000000
   0   0   0      2      5      0.00000000000000      0.00000000000000
   0   0   0      2      6     -0.00000000000000     -0.00000000000000
   0   0   0      2      7     -0.00000000000000     -0.00000000000000
   0   0   0      2      8     -0.00000000000000     -0.00000000000000
   0   0   0      2      9      0.00000000000000      0.00000000000000
   0   0   0      2     19      0.00000000000000      0.00000000000000
   0   0   0      2     20      0.00000000000000      0.00000000000000
   0   0   0      2     21      0.00000000000000      0.00000000000000
   0   0   0      2     22      0.00000000000000      0.00000000000000
   0   0   0      2     23      0.00000000000000      0.00000000000000
   0   0   0      2     24      0.00000000000000      0.00000000000000
   0   0   0      2     25      0.00000000000000      0.00000000000000
   0   0   0      2     26      0.00000000000000      0.00000000000000
   0   0   0      2     27      0.00000000000000      0.00000000000000
   0   0   0      3      1      0.00000000000000      0.00000000000000
   0   0   0      3      2      0.00000000000000     -0.00000000000000
   0   0   0      3      3     13.86895777752556      0.00000000000000
   0   0   0      3      4     -0.00000000000000     -0.00000000000000
   0   0   0      3      5      0.00000000000000      0.00000000000000
   0   0   0      3      6     -0.00000000000000     -0.00000000000000
   0   0   0      3      7      0.00000000000000      0.00000000000000
   0   0   0      3      8      0.00000000000000     -0.00000000000000
   0   0   0      3      9      0.00000000000000     -0.00000000000000
   0   0   0      3     19      0.00000000000000      0.00000000000000
   0   0   0      3     20      0.15786201224472      0.00000000000000
   0   0   0      3     21      0.00000000000000      0.00000000000000
   0   0   0      3     22      0.00000000000000      0.00000000000000
   0   0   0      3     23      0.00000000000000      0.00000000000000
   0   0   0      3     24      0.00000000000000      0.00000000000000
   0   0   0      3     25      0.00000000000000      0.00000000000000
   0   0   0      3     26      0.00000000000000      0.00000000000000
   0   0   0      3     27      0.00000000000000      0.00000000000000
   0   0   0      4      1     -0.00000000000000      0.00000000000000
   0   0   0      4      2     -0.00000000000001      0.00000000000000
   0   0   0      4      3     -0.00000000000000      0.00000000000000
   0   0   0      4      4     13.98058307687556     -0.00000000000000
   0   0   0      4      5     -0.00000000000000      0.00000000000000
   0   0   0      4      6     -0.00000000000000      0.00000000000000
   0   0   0      4      7      0.00000000000000     -0.00000000000000
   0   0   0      4      8     -0.00000000000000      0.00000000000000
   0   0   0      4      9     -0.00000000000000      0.00000000000000
   0   0   0      4     19      0.00000000000000      0.00000000000000
   0   0   0      4     20      0.00000000000000      0.00000000000000
   0   0   0      4     21      0.15786201224472      0.00000000000000
   0   0   0      4     22      0.00000000000000      0.00000000000000
   0   0   0      4     23      0.00000000000000      0.00000000000000
   0   0   0      4     24      0.00000000000000      0.00000000000000
   0   0   0      4     25      0.00000000000000      0.00000000000000
   0   0   0      4     26      0.00000000000000      0.00000000000000
   0   0   0      4     27      0.00000000000000      0.00000000000000
   0   0   0      5      1      0.00000000000000     -0.00000000000000
   0   0   0      5      2      0.00000000000000      0.00000000000000
   0   0   0      5      3      0.00000000000000      0.00000000000000
   0   0   0      5      4     -0.00000000000000     -0.00000000000000
   0   0   0      5      5      0.83683828354186      0.00000000000000
   0   0   0      5      6      0.00000000000000      0.00000000000000
   0   0   0      5      7     -0.00000000000000      0.00000000000000
   0   0   0      5      8     -0.00000000000000      0.00000000000000
   0   0   0      5      9      0.42667771958895      0.00000000000000
   0   0   0      5     19      0.00000000000000      0.00000000000000
   0   0   0      5     20      0.00000000000000      0.00000000000000
   0   0   0      5     21      0.00000000000000      0.00000000000000
   0   0   0      5     22      0.00000000000000      0.00000000000000
   0   0   0      5     23      0.00000000000000      0.00000000000000
   0   0   0      5     24      0.00000000000000      0.00000000000000
   0   0   0      5     25      0.00000000000000      0.00000000000000
   0   0   0      5     26      0.00000000000000      0.00000000000000
   0   0   0      5     27      0.00000000000000      0.00000000000000
   0   0   0      6      1     -0.00000000000000     -0.00000000000000
   0   0   0      6      2      0.00000000000000      0.00000000000000
   0   0   0      6      3      0.00000000000000      0.00000000000000
   0   0   0      6      4      0.00000000000000     -0.00000000000000
   0   0   0      6      5      0.00000000000000      0.00000000000000
   0   0   0      6      6      0.45785012613716      0.00000000000000
   0   0   0      6      7     -0.00000000000000      0.00000000000000
   0   0   0      6      8      0.00000000000000      0.00000000000000
   0   0   0      6      9      0.00000000000000      0.00000000000000
   0   0   0      6     19      0.00000000000000      0.00000000000000
   0   0   0      6     20      0.00000000000000      0.00000000000000
   0   0   0      6     21      0.00000000000000      0.00000000000000
   0   0   0      6     22      0.00000000000000      0.00000000000000
   0   0   0      6     23      0.09537912436851      0.00000000000000
   0   0   0      6     24      0.00000000000000      0.00000000000000
   0   0   0      6     25      0.00000000000000      0.00000000000000
   0   0   0      6     26      0.00000000000000      0.00000000000000
   0   0   0      6     27      0.00000000000000      0.00000000000000
   0   0   0      7      1     -0.00000000000000      0.00000000000000
   0   0   0      7      2      0.00000000000000      0.00000000000000
   0   0   0      7      3      0.00000000000000      0.00000000000000
   0   0   0      7      4     -0.00000000000000      0.00000000000000
   0   0   0      7      5     -0.00000000000000     -0.00000000000000
   0   0   0      7      6     -0.00000000000000     -0.00000000000000
   0   0   0      7      7      1.35889512749930      0.00000000000000
   0   0   0      7      8      0.00000000000000     -0.00000000000000
   0   0   0      7      9     -0.00000000000000      0.00000000000000
   0   0   0      7     19      0.00000000000000      0.00000000000000
   0   0   0      7     20      0.00000000000000      0.00000000000000
   0   0   0      7     21      0.00000000000000      0.00000000000000
   0   0   0      7     22      0.00000000000000      0.00000000000000
