   0   0   0      1      1      2.57749105450391      0.00000000000000
   0   0   0      1      2      0.00000000000000     -0.00000000000000
   0   0   0      1      3      0.00000000000000      0.00000000000000
   0   0   0      1      4     -0.00000000000000     -0.00000000000000
   0   0   0      1      5     -0.00000000000000     -0.00000000000000
   0   0   0      1      6     -0.00000000000000      0.00000000000000
   0   0   0      1      7     -0.00000000000000      0.00000000000000
   0   0   0      1      8      0.00000000000000      0.00000000000000
   0   0   0      1      9     -0.00000000000000      0.00000000000000
   0   0   0      1     10      0.00000000000000      0.00000000000000
   0   0   0      1     11      0.00000000000000      0.00000000000000
   0   0   0      1     12      0.00000000000000      0.00000000000000
   0   0   0      1     13      0.00000000000000      0.00000000000000
   0   0   0      1     14      0.00000000000000      0.00000000000000
   0   0   0      1     15      0.00000000000000      0.00000000000000
   0   0   0      1     16      0.00000000000000      0.00000000000000
   0   0   0      1     17      0.00000000000000      0.00000000000000
   0   0   0      1     18      0.00000000000000      0.00000000000000
   0   0   0      2      1     -0.00000000000000     -0.00000000000000
   0   0   0      2      2      7.15083680412995     -0.00000000000000
   0   0   0      2      3      0.00000000000000     -0.00000000000000
   0   0   0      2      4     -0.00000000000000     -0.00000000000000
   0   0   0      2      5     -0.00000000000000     -0.00000000000000
   0   0   0      2      6      0.00000000000000      0.00000000000000
   0   0   0      2      7      0.00000000000000     -0.00000000000000
   0   0   0      2      8     -0.00000000000000      0.00000000000000
   0   0   0      2      9      0.00000000000000      0.00000000000000
   0   0   0      2     10      0.00000000000000      0.00000000000000
   0   0   0      2     11      0.00000000000000      0.00000000000000
   0   0   0      2     12      0.00000000000000      0.00000000000000
   0   0   0      2     13      0.00000000000000      0.00000000000000
   0   0   0      2     14      0.00000000000000      0.00000000000000
   0   0   0      2     15      0.00000000000000      0.00000000000000
   0   0   0      2     16      0.00000000000000      0.00000000000000
   0   0   0      2     17      0.00000000000000      0.00000000000000
   0   0   0      2     18      0.00000000000000      0.00000000000000
   0   0   0      3      1     -0.00000000000000      0.00000000000000
   0   0   0      3      2     -0.00000000000000      0.00000000000000
   0   0   0      3      3      7.23618883815905      0.00000000000000
   0   0   0      3      4      0.00000000000000      0.00000000000000
   0   0   0      3      5     -0.00000000000000     -0.00000000000000
   0   0   0      3      6      0.00000000000000      0.00000000000000
   0   0   0      3      7      0.00000000000000      0.00000000000000
   0   0   0      3      8     -0.00000000000000      0.00000000000000
   0   0   0      3      9     -0.00000000000000      0.00000000000000
   0   0   0      3     10      0.00000000000000      0.00000000000000
   0   0   0      3     11      0.12070600410010      0.00000000000000
   0   0   0      3     12      0.00000000000000      0.00000000000000
   0   0   0      3     13      0.00000000000000      0.00000000000000
   0   0   0      3     14      0.00000000000000      0.00000000000000
   0   0   0      3     15      0.00000000000000      0.00000000000000
   0   0   0      3     16      0.00000000000000      0.00000000000000
   0   0   0      3     17      0.00000000000000      0.00000000000000
   0   0   0      3     18      0.00000000000000      0.00000000000000
   0   0   0      4      1      0.00000000000000     -0.00000000000000
   0   0   0      4      2     -0.00000000000000      0.00000000000000
   0   0   0      4      3     -0.00000000000000     -0.00000000000000
   0   0   0      4      4      7.32154087218816      0.00000000000000
   0   0   0      4      5     -0.00000000000000      0.00000000000000
   0   0   0      4      6     -0.00000000000000     -0.00000000000000
   0   0   0      4      7     -0.00000000000000     -0.00000000000000
   0   0   0      4      8      0.00000000000000     -0.00000000000000
   0   0   0      4      9      0.00000000000000     -0.00000000000000
   0   0   0      4     10      0.00000000000000      0.00000000000000
   0   0   0      4     11      0.00000000000000      0.00000000000000
   0   0   0      4     12      0.12070600410010      0.00000000000000
   0   0   0      4     13      0.00000000000000      0.00000000000000
   0   0   0      4     14      0.00000000000000      0.00000000000000
   0   0   0      4     15      0.00000000000000      0.00000000000000
   0   0   0      4     16      0.00000000000000      0.00000000000000
   0   0   0      4     17      0.00000000000000      0.00000000000000
   0   0   0      4     18      0.00000000000000      0.00000000000000
   0   0   0      5      1      0.00000000000000     -0.00000000000000
   0   0   0      5      2      0.00000000000000      0.00000000000000
   0   0   0      5      3     -0.00000000000000      0.00000000000000
   0   0   0      5      4     -0.00000000000000     -0.00000000000000
   0   0   0      5      5     -2.59231783875211      0.00000000000000
   0   0   0      5      6      0.00000000000000     -0.00000000000000
   0   0   0      5      7      0.00000000000000      0.00000000000000
   0   0   0      5      8     -0.00000000000000     -0.00000000000000
   0   0   0      5      9     -0.13290539250048     -0.00000000000000
   0   0   0      5     10      0.00000000000000      0.00000000000000
   0   0   0      5     11      0.00000000000000      0.00000000000000
   0   0   0      5     12      0.00000000000000      0.00000000000000
   0   0   0      5     13      0.00000000000000      0.00000000000000
   0   0   0      5     14      0.00000000000000      0.00000000000000
   0   0   0      5     15      0.00000000000000      0.00000000000000
   0   0   0      5     16      0.00000000000000      0.00000000000000
   0   0   0      5     17      0.00000000000000      0.00000000000000
   0   0   0      5     18      0.00000000000000      0.00000000000000
   0   0   0      6      1      0.00000000000000      0.00000000000000
   0   0   0      6      2     -0.00000000000000      0.00000000000000
   0   0   0      6      3     -0.00000000000000     -0.00000000000000
   0   0   0      6      4     -0.00000000000000      0.00000000000000
   0   0   0      6      5     -0.00000000000000     -0.00000000000000
   0   0   0      6      6     -2.43260495340460     -0.00000000000000
   0   0   0      6      7     -0.00000000000000      0.00000000000000
   0   0   0      6      8      0.00000000000000     -0.00000000000000
   0   0   0      6      9      0.00000000000000      0.00000000000000
